rank,name,inst,vote,old,recent,no_files
1,Debian Gnome Maintainers,27755902,10060764,8086681,4158382,5450075
2,Not in sid,24493325,3478460,5477376,458852,15078637
3,Debian X Strike Force,17976457,6996994,4116365,1824312,5038786
4,Debian Qt/kde Maintainers,16422167,6078074,3873048,1766997,4704048
5,Debian Perl Group,14751037,1518715,9442243,1618812,2171267
6,Debian Multimedia Maintainers,11500332,3324988,1492212,734920,5948212
7,Utopia Maintenance Team,6637941,4416530,711794,912753,596864
8,Debian Libreoffice Maintainers,5986139,886154,1422942,654516,3022527
9,Debian Python Team,5270986,1321971,2997835,817683,133497
10,Debian Gcc Maintainers,3893233,1150196,1335829,408387,998821
11,Debian Javascript Maintainers,3879714,433178,2076443,504242,865851
12,Debian Java Maintainers,3544653,176420,776473,141088,2450672
13,Laszlo Boszormenyi,3519386,1162205,1125922,338153,893106
14,Matthias Klose,3493405,1554502,1229757,413618,295528
15,Debian Qa Group,3487073,750441,951162,274832,1510638
16,Debian Install System Team,3302335,490469,1782666,353670,675530
17,Debian Gnupg Maintainers,2941023,1927183,517485,260839,235516
18,Debian Accessibility Team,2920615,689831,847331,378754,1004699
19,Debian Printing Team,2669110,855056,1168924,392514,252616
20,Util-linux Packagers,2658139,1521187,653432,273845,209675
21,Debian Fonts Task Force,2575643,545217,164843,94790,1770793
22,Debian Kernel Team,2573224,884340,1052939,302118,333827
23,Debian Systemd Maintainers,2258934,1520810,202596,207313,328215
24,Guillem Jover,2123558,944958,646870,201955,329775
25,Sam Hartman,2081273,1422111,270534,171906,216722
26,Debian Xfce Maintainers,2026856,614993,624524,204641,582698
27,Debian Freedesktop.org Maintainers,1956469,1052999,539068,297539,66863
28,Gnu Libc Maintainers,1887737,903846,686851,198924,98116
29,Debian Netfilter Packaging Team,1869370,681428,772395,130240,285307
30,Maintainers Of Gstreamer Packages,1794122,598326,441710,228130,525956
31,Debian Samba Maintainers,1511790,562981,375017,153515,420277
32,Debian Science Team,1498809,121516,338228,67869,971196
33,Debian Gnutls Maintainers,1410106,931513,163701,122608,192284
34,Anibal Monsalve Salazar,1360979,716264,483214,145076,16425
35,Debian Science Maintainers,1351278,354548,424915,110987,460828
36,Marco D'itri,1335768,821595,305971,108964,99238
37,Debian Phototools Maintainers,1321149,463162,321147,151828,385012
38,Ncurses Maintainers,1270167,524374,340352,109017,296424
39,Santiago Vila,1252414,533864,583776,124816,9958
40,Alastair Mckinstry,1183721,331803,603822,112356,135740
41,Aurelien Jarno,1174769,498780,337476,118232,220281
42,Apt Development Team,1171738,575743,307794,113909,174292
43,Nicolas Mora,1125409,547971,150519,98615,328304
44,Jörg Frings-fürst,1123473,426524,379740,162642,154567
45,Laurent Bigonville,1122210,705652,72430,109816,234312
46,Theodore Y. Ts'o,1033897,498631,115073,63184,357009
47,Debian+ubuntu Mate Packaging Team,992760,344355,393520,118471,136414
48,Craig Small,979445,363953,173473,56137,385882
49,Grub Maintainers,959691,114985,584954,115139,144613
50,Debian Apache Maintainers,948879,476302,123787,56381,292409
51,Colin Watson,941974,773962,86309,77856,3847
52,Debian Tex Task Force,926931,167918,483972,105707,169334
53,Matthias Klumpp,895337,445640,225983,115494,108220
54,Debian Mono Group,866492,305576,454756,91971,14189
55,Robert Luberda,860138,131919,606377,120413,1429
56,Debianonmobile Maintainers,828229,566131,91307,133338,37453
57,Debian Vim Maintainers,821872,90269,640867,88376,2360
58,Alessandro Ghedini,810468,405819,242599,75777,86273
59,Debian Alsa Maintainers,801020,379024,100595,93165,228236
60,Debian Nvidia Maintainers,785795,212898,96057,43205,433635
61,Debian Boost Team,769828,88644,112927,36567,531690
62,Debian Xml/sgml Group,757204,305419,175995,54256,221534
63,Florian Ernst,756672,448959,100358,38385,168970
64,Sandro Tosi,752374,178256,464054,103976,6088
65,Christian Kastner,751383,454253,189750,66119,41261
66,Debian Lvm Team,748036,457330,176578,51340,62788
67,Josue Ortega,735710,545941,91255,61875,36639
68,Christoph Biedl,732803,245219,332089,126896,28599
69,Jonathan Nieder,732392,352755,195034,60567,124036
70,Debian Ruby Team,720113,175578,487781,40400,16354
71,Pulseaudio Maintenance Team,717361,384697,124882,74673,133109
72,Debian Uefi Maintainers,703426,202909,199920,84345,216252
73,Dr. Tobias Quathamer,675161,90428,113221,33319,438193
74,Debian Cyrus Team,671173,298319,58185,37170,277499
75,Debian Webkit Maintainers,669315,259714,41404,85657,282540
76,Boyuan Yang,659731,192960,154313,48649,263809
77,Matthew Vernon,655976,262886,125909,49024,218157
78,Debian Selinux Maintainers,649953,218907,46357,32562,352127
79,Debian Input Method Team,643621,238398,104641,81348,219234
80,Theppitak Karoonboonyanan,641262,269775,110339,51750,209398
81,Debconf Developers,632344,278100,88270,41581,224393
82,Imagemagick Packaging Team,629035,43649,154658,25129,405599
83,Agustin Martin Domingo,619419,129070,399974,89056,1319
84,Debian Openssh Maintainers,607454,382955,148318,55149,21032
85,Adrian Bunk,603577,191991,253997,66138,91451
86,Niko Tyni,599895,458074,63526,75741,2554
87,Debian Dns Team,594061,89712,372171,98555,33623
88,Ileana Dumitrescu,592582,327962,5412,31953,227255
89,Llvm Packaging Team,587861,340163,112110,83246,52342
90,Debian Gis Project,585873,74459,143144,46177,322093
91,Debian Tts Team,581606,224494,96838,67322,192952
92,Debian Mysql Maintainers,580171,162071,117898,43265,256937
93,Stephen Kitt,558990,221510,128556,48226,160698
94,Debian Sysvinit Maintainers,551900,434513,89929,26979,479
95,Dmitry Smirnov,550469,275235,171288,59184,44762
96,Debian Games Team,542722,39195,196905,18201,288421
97,Mathieu Trudel-lapierre,541676,342421,38296,106304,54655
98,Piotr Ożarowski,527164,63906,373514,87769,1975
99,Mime-support Packagers,515911,140904,181643,43656,149708
100,Christopher James Halse Rogers,514642,369601,40357,70039,34645
101,Maintainers Of Mozilla-related Packages,510506,269881,101593,92664,46368
102,Javier Fernández-sanguino Peña,507197,200961,26947,20268,259021
103,Barak A. Pearlmutter,493597,63910,197599,39637,192451
104,Debian Cinnamon Team,484909,203076,148594,73623,59616
105,Ayatana Packagers,480210,150305,161800,89393,78712
106,Dpkg Developers,474176,241634,186834,45578,130
107,Håvard F. Aasen,473795,235310,86060,27535,124890
108,Benjamin Drung,467148,138307,99106,35451,194284
109,Shadow Package Maintainers,464896,252686,160009,47785,4416
110,Heiko Stuebner,464401,295083,94126,54305,20887
111,Patrick Matthäi,463783,55362,137769,28095,242557
112,Debian Bluetooth Maintainers,457282,239008,68076,58835,91363
113,Milan Kupcevic,456509,251665,158650,45711,483
114,أحمد المحمودي,455081,212231,92666,54901,95283
115,Debian Php Maintainers,451668,164242,90170,21250,176006
116,Debian Isc Dhcp Maintainers,451641,53374,162156,30773,205338
117,Debian R Packages Maintainers,451429,91923,291012,67664,830
118,Andrej Shadura,451207,267642,99414,58169,25982
119,Clint Adams,441854,189821,210674,41172,187
120,Michael Biebl,437254,331854,79512,18894,6994
121,Tomasz Buchert,432525,292484,73924,45604,20513
122,Debian Elfutils Maintainers,423155,235857,73641,44215,69442
123,Debian Lua Team,421488,67444,162619,24944,166481
124,Debian Remote Maintainers,418999,82338,136694,60836,139131
125,Manoj Srivastava,413057,195482,170330,31907,15338
126,Debian Apparmor Team,412228,260180,62497,38229,51322
127,Debian Libvirt Maintainers,411475,186575,143568,40327,41005
128,Robert Edmonds,406990,94411,166634,61032,84913
129,Hugh Mcmaster,399515,134671,109361,29064,126419
130,Gtkpod Maintainers,386152,296682,38121,50987,362
131,Reportbug Maintainers,384860,15846,309127,59076,811
132,Debian Efi Team,383220,98212,201352,83269,387
133,Debian Tcl/tk Packagers,380322,48756,279634,33624,18308
134,Mark Brown,370790,226962,71893,33535,38400
135,Nobuhiro Iwamatsu,369352,253576,59905,34889,20982
136,Jonathan Carter,358137,146676,81890,41764,87807
